ds_rank,name,pos,team,pos_rank,ds_tier,games,adp,bye,sos,injury,floor,cons_proj,proj,ceil,value
32,T Higgins,WR,CIN,16,4,17.0,39,6.0,4.0,0.66,217.0,227.0,243.0,302.0,43.0
33,C Loveland,TE,CHI,3,4,17.0,42,10.0,-3.6,0.6,197.0,221.0,240.0,288.0,43.0
34,J Love,RB,ARI,14,4,17.0,28,14.0,0.1,0.34,208.0,237.0,239.0,340.0,43.0
35,G Wilson,WR,NYJ,17,4,17.0,38,13.0,-1.0,0.38,219.0,228.0,243.0,299.0,42.0
36,J Williams,RB,DAL,15,4,17.0,29,14.0,2.9,0.43,209.0,229.0,243.0,309.0,40.0
37,J Waddle,WR,DEN,18,4,17.0,44,10.0,-2.5,0.37,199.0,219.0,234.0,300.0,38.0
38,T Warren,TE,IND,4,4,17.0,52,13.0,1.5,0.36,184.0,203.0,224.0,266.0,36.0
39,L Jackson,QB,BAL,2,4,17.0,43,13.0,1.1,0.42,299.0,324.0,340.0,439.0,35.0
40,T Etienne,RB,NO,16,4,17.0,35,8.0,1.8,0.45,209.0,222.0,227.0,314.0,35.0
41,D Adams,WR,LAR,19,5,17.0,51,11.0,-3.1,0.49,189.0,211.0,230.0,290.0,34.0
42,C Watson,WR,GB,20,5,17.0,61,11.0,1.3,0.25,188.0,197.0,229.0,293.0,34.0
43,K Williams,RB,LAR,17,5,17.0,30,11.0,6.4,0.52,202.0,225.0,226.0,308.0,33.0
44,T McMillan,WR,CAR,22,5,17.0,36,5.0,-1.3,0.37,199.0,220.0,224.0,291.0,33.0
45,L Burden III,WR,CHI,21,5,17.0,50,10.0,-2.5,0.54,189.0,206.0,222.0,300.0,33.0
46,E Egbuka,WR,TB,23,5,17.0,37,10.0,2.6,0.42,188.0,214.0,222.0,297.0,32.0
47,L McConkey,WR,LAC,24,5,17.0,40,7.0,-2.6,0.42,194.0,219.0,220.0,295.0,32.0
48,D Swift,RB,CHI,18,5,17.0,45,10.0,-3.6,0.42,191.0,210.0,225.0,299.0,30.0
49,J Burrow,QB,CIN,4,5,17.0,57,6.0,3.2,0.34,290.0,309.0,337.0,421.0,29.0
50,D Maye,QB,NE,5,5,17.0,55,11.0,-2.8,0.35,292.0,315.0,335.0,422.0,29.0
51,J Hurts,QB,PHI,3,5,17.0,67,10.0,8.8,0.33,289.0,311.0,332.0,432.0,29.0
52,J Daniels,QB,WAS,6,5,17.0,64,7.0,-0.4,0.41,286.0,313.0,332.0,432.0,29.0
53,M Evans,WR,SF,26,5,17.0,63,8.0,-3.2,0.65,173.0,196.0,217.0,295.0,29.0
54,T McLaurin,WR,WAS,25,5,17.0,53,7.0,-2.4,0.37,190.0,212.0,216.0,287.0,29.0
55,C Skattebo,RB,NYG,19,5,17.0,41,8.0,2.2,0.72,176.0,217.0,214.0,302.0,28.0
56,B Irving,RB,TB,20,5,17.0,49,10.0,-2.2,0.63,184.0,206.0,211.0,298.0,28.0
57,J Williams,WR,DET,27,5,17.0,54,6.0,-1.0,0.36,185.0,207.0,210.0,286.0,27.0
58,D Montgomery,RB,HOU,21,5,17.0,48,8.0,2.0,0.85,178.0,196.0,207.0,296.0,27.0
59,R Odunze,WR,CHI,28,5,17.0,60,10.0,-2.5,0.36,181.0,197.0,206.0,297.0,27.0
60,R Stevenson,RB,NE,22,5,17.0,65,11.0,-1.9,0.64,173.0,180.0,206.0,289.0,27.0
61,T Kraft,TE,GB,5,5,17.0,69,11.0,-3.3,0.39,167.0,182.0,196.0,257.0,27.0
62,H Fannin Jr.,TE,CLE,7,5,17.0,70,11.0,3.4,0.57,173.0,185.0,197.0,250.0,26.0
63,S LaPorta,TE,DET,6,5,17.0,77,6.0,-2.0,0.6,172.0,190.0,196.0,254.0,26.0
64,T Lawrence,QB,JAC,7,6,17.0,88,7.0,4.5,0.34,279.0,304.0,328.0,414.0,26.0
65,J Herbert,QB,LAC,8,6,17.0,84,7.0,-2.8,0.36,280.0,297.0,326.0,418.0,26.0
66,C Williams,QB,CHI,9,6,17.0,76,10.0,-3.5,0.2,278.0,302.0,324.0,421.0,26.0
67,Q Judkins,RB,CLE,23,6,17.0,46,11.0,0.6,0.48,181.0,204.0,201.0,291.0,26.0
68,B Purdy,QB,SF,10,6,17.0,117,8.0,-4.0,0.36,277.0,297.0,326.0,414.0,25.0
69,K Murray,QB,MIN,11,6,17.0,134,6.0,4.0,0.33,273.0,283.0,325.0,419.0,25.0
70,D Prescott,QB,DAL,12,6,17.0,81,14.0,0.5,0.34,282.0,300.0,324.0,412.0,25.0
71,P Washington,WR,JAC,30,6,17.0,62,7.0,4.0,0.0,175.0,188.0,211.0,275.0,25.0
72,D Moore,WR,BUF,29,6,17.0,47,7.0,0.7,0.54,175.0,197.0,209.0,282.0,25.0
73,J Warren,RB,PIT,24,6,17.0,66,9.0,-2.1,0.66,161.0,187.0,201.0,276.0,25.0
